       X           Y
0   37.454012  126.746701
1   95.071431  293.927975
2   73.199394  225.441700
3   59.865848  183.586508
4   15.601864   39.020372
5   15.599452   46.599914
6    5.808361   19.818696
7   86.617615  277.424066
8   60.111501  190.770686
9   70.807258  201.791372
10   2.058449   16.416188
11  96.990985  294.122133
12  83.244264  249.963572
13  21.233911   76.818496
14  18.182497   71.857485
15  18.340451   71.334154
16  30.424224   89.880498
17  52.475643  161.334806
18  43.194502  139.896140
19  29.122914  104.124193
20  61.185289  185.764126
21  13.949386   46.991568
22  29.214465   83.580045
23  36.636184  104.946487
24  45.606998  151.946253
25  78.517596  256.115189
26  19.967378   66.182033
27  51.423444  171.305661
28  59.241457  188.340731
29   4.645041   14.483926
30  60.754485  192.877412
31  17.052412   73.537603
32   6.505159   26.157218
33  94.888554  307.312098
34  96.563203  270.492159
35  80.839735  257.738229
36  30.461377   99.254601
37   9.767211   33.311561
38  68.423303  213.187516
39  44.015249  119.170059
40  12.203823   41.414752
41  49.517691  159.124199
42   3.438852   32.095497
43  90.932040  274.613418
44  25.877998   76.549058
45  66.252228  200.739115
46  31.171108  109.667344
47  52.006802  166.307917
48  54.671028  165.715482
49  18.485446   67.589011
